gene_id,gene_name,n_pos,mean_c,median_c,rank
ENSG00000100038.20,TOP3B,25789,26.38306999206543,31.0,70
ENSG00000100218.12,RSPH14,85607,26.39531135559082,31.0,71
ENSG00000075275.18,CELSR1,176787,26.402790069580078,31.0,72
ENSG00000100234.12,TIMP3,61337,26.408897399902344,31.0,73
ENSG00000100225.18,FBXO7,24154,26.470191955566406,31.0,74
ENSG00000093000.19,NUP50,24093,26.475698471069336,31.0,75
ENSG00000100416.15,TRMU,26466,26.490270614624023,31.0,76
ENSG00000100258.18,LMF2,4754,26.53449821472168,31.0,77
ENSG00000283809.1,ENSG00000283809,41495,26.5424861907959,31.0,78
ENSG00000075234.17,TTC38,26048,26.545665740966797,31.0,79
ENSG00000284554.2,ENSG00000284554,18914,26.56019401550293,31.0,80
ENSG00000099985.4,OSM,4023,26.599056243896484,31.0,81
ENSG00000079974.19,RABL2B,16167,26.605121612548828,31.0,82
ENSG00000159307.20,SCUBE1,146093,26.61348533630371,31.0,83
ENSG00000130540.14,SULT4A1,38005,26.614511489868164,31.0,84
ENSG00000185838.14,GNB1L,71717,26.639631271362305,31.0,85
ENSG00000099995.19,SF3A1,24932,26.655563354492188,31.0,86
ENSG00000100410.8,PHF5A,8976,26.67992401123047,31.0,87
ENSG00000100422.14,CERK,53843,26.685623168945312,31.0,88
ENSG00000184702.20,SEPTIN5,9722,26.693683624267578,31.0,89
ENSG00000100241.22,SBF1,40705,26.711681365966797,31.0,90
ENSG00000185686.18,PRAME,11661,26.71387481689453,31.0,91
ENSG00000054611.14,TBC1D22A,413083,26.731740951538086,31.0,92
ENSG00000278558.5,TMEM191B,2772,26.771644592285156,31.0,93
ENSG00000182858.14,ALG12,18210,26.782289505004883,31.0,94
ENSG00000100201.23,DDX17,24223,26.803739547729492,31.0,95
ENSG00000100099.22,HPS4,40825,26.810752868652344,31.0,96
ENSG00000186575.19,NF2,95043,26.815641403198242,31.0,97
ENSG00000128191.17,DGCR8,31657,26.820117950439453,31.0,98
ENSG00000099937.11,SERPIND1,13608,26.829843521118164,31.0,99
ENSG00000128159.12,TUBGCP6,27335,26.842729568481445,31.0,100
ENSG00000100266.19,PACSIN2,179738,26.84650421142578,31.0,101
ENSG00000100351.17,GRAP2,72638,26.859970092773438,31.0,102
ENSG00000100380.15,ST13,32105,26.88967514038086,31.0,103
ENSG00000286025.2,FAM246C,1719,26.89674186706543,31.0,104
ENSG00000184708.18,EIF4ENIF1,59132,26.91271209716797,31.0,105
ENSG00000100228.14,RAB36,20298,26.929943084716797,31.0,106
ENSG00000184983.11,NDUFA6,5359,26.93720817565918,31.0,107
ENSG00000188064.10,WNT7B,56797,26.968748092651367,31.0,108
ENSG00000100249.5,C22orf31,3160,26.970727920532227,31.0,109
ENSG00000099977.16,DDT,9984,26.980117797851562,31.0,110
ENSG00000100197.23,CYP2D6,4367,26.989580154418945,31.0,111
ENSG00000015475.19,BID,40633,27.00888442993164,31.0,112
ENSG00000100034.14,PPM1F,33424,27.009992599487305,31.0,113
ENSG00000025708.14,TYMP,4281,27.017986297607422,31.0,114
ENSG00000183579.16,ZNRF3,173917,27.039125442504883,31.0,115
ENSG00000070010.19,UFD1,29292,27.044551849365234,31.0,116
ENSG00000073169.15,SELENOO,16606,27.051578521728516,31.0,117
ENSG00000100376.12,FAM118A,32988,27.06464385986328,31.0,118
ENSG00000100284.22,TOM1,48718,27.07109260559082,31.0,119
ENSG00000100413.17,POLR3H,18808,27.07443618774414,31.0,120
ENSG00000099992.16,TBC1D10A,34958,27.098031997680664,31.0,121
ENSG00000182944.18,EWSR1,32517,27.10000991821289,31.0,122
ENSG00000128285.5,MCHR1,3540,27.11850357055664,31.0,123
ENSG00000128203.7,ASPHD2,15756,27.12014389038086,31.0,124
ENSG00000128253.16,RFPL2,14639,27.142906188964844,31.0,125
ENSG00000100280.17,AP1B1,60904,27.14544105529785,31.0,126
ENSG00000177663.15,IL17RA,30740,27.19072914123535,31.0,127
ENSG00000100379.18,KCTD17,11652,27.191383361816406,31.0,128
ENSG00000077942.19,FBLN1,98898,27.196409225463867,31.0,129
ENSG00000128394.17,APOBEC3F,15369,27.19887351989746,31.0,130
ENSG00000099991.18,CABIN1,167437,27.199357986450195,31.0,131
ENSG00000100418.8,DESI1,23016,27.206052780151367,31.0,132
ENSG00000100100.13,PIK3IP1,10941,27.21209144592285,31.0,133
ENSG00000100330.16,MTMR3,147700,27.25719451904297,31.0,134
ENSG00000099958.15,DERL3,4626,27.26243019104004,31.0,135
ENSG00000100320.24,RBFOX2,290089,27.27680206298828,31.0,136
ENSG00000241878.12,PISD,43731,27.294801712036133,31.0,137
ENSG00000100023.20,PPIL2,34016,27.295141220092773,31.0,138
ENSG00000240972.2,MIF,845,27.31420135498047,31.0,139
ENSG00000172404.5,DNAJB7,2565,27.316179275512695,31.0,140
ENSG00000284130.2,TUBA3FP,6100,27.346967697143555,31.0,141
ENSG00000100024.15,UPB1,34284,27.347814559936523,31.0,142
ENSG00000128250.5,RFPL1,3873,27.352310180664062,31.0,143
ENSG00000100298.16,APOBEC3H,6844,27.35447120666504,31.0,144
ENSG00000100353.18,EIF3D,18330,27.368003845214844,31.0,145
ENSG00000100077.16,GRK3,164620,27.368520736694336,31.0,146
ENSG00000184058.16,TBX1,26891,27.372819900512695,31.0,147
ENSG00000073146.17,MOV10L1,71685,27.376110076904297,31.0,148
ENSG00000284874.1,ENSG00000284874,7553,27.381635665893555,31.0,149
ENSG00000100109.17,TFIP11,21281,27.405431747436523,31.0,150
ENSG00000241973.11,PI4KA,151727,27.405580520629883,31.0,151
ENSG00000100341.13,PNPLA5,12336,27.405723571777344,31.0,152
ENSG00000251322.11,SHANK3,58798,27.41695213317871,31.0,153
ENSG00000100242.16,SUN2,60854,27.41790199279785,31.0,154
ENSG00000056487.16,PHF21B,128844,27.42450523376465,31.0,155
ENSG00000159958.7,TNFRSF13C,4775,27.42680549621582,31.0,156
ENSG00000242259.9,C22orf39,96344,27.438003540039062,31.0,157
ENSG00000188677.15,PARVB,173729,27.439197540283203,31.0,158
ENSG00000100083.19,GGA1,24840,27.440540313720703,31.0,159
ENSG00000133488.15,SEC14L4,16810,27.45508575439453,31.0,160
ENSG00000198951.12,NAGA,12509,27.46562385559082,31.0,161
ENSG00000198792.13,TMEM184B,53720,27.477502822875977,31.0,162
ENSG00000100347.15,SAMM50,55090,27.487375259399414,31.0,163
ENSG00000100324.14,TAB1,37283,27.48995590209961,31.0,164
ENSG00000100393.15,EP300,87486,27.491294860839844,31.0,165
ENSG00000215193.14,PEX26,27474,27.540985107421875,31.0,166
ENSG00000100220.12,RTCB,24667,27.565532684326172,31.0,167
ENSG00000128276.10,RFPL3,6277,27.566274642944336,31.0,168
ENSG00000169184.7,MN1,53480,27.5719051361084,31.0,169
ENSG00000100387.9,RBX1,21963,27.57819938659668,31.0,170
ENSG00000184459.10,BPIFC,50640,27.5838565826416,31.0,171
ENSG00000100053.10,CRYBB3,7502,27.590909957885742,31.0,172
ENSG00000099917.17,MED15,91720,27.602828979492188,31.0,173
ENSG00000288683.1,ENSG00000288683,53732,27.61359214782715,31.0,174
ENSG00000289517.1,ENSG00000289517,43853,27.615772247314453,31.0,175
ENSG00000258555.6,SPECC1L-ADORA2A,171459,27.628175735473633,31.0,176
ENSG00000100311.17,PDGFB,21624,27.629554748535156,31.0,177
ENSG00000100154.15,TTC28,701827,27.632057189941406,31.0,178
ENSG00000100151.16,PICK1,19391,27.64728546142578,31.0,179
ENSG00000244486.9,SCARF2,13243,27.654193878173828,31.0,180
ENSG00000133477.17,FAM83F,48581,27.662954330444336,31.0,181
ENSG00000138892.12,TTLL8,39724,27.66492462158203,31.0,182
ENSG00000169635.10,HIC2,34093,27.680198669433594,31.0,183
ENSG00000070371.16,CLTCL1,112247,27.69413948059082,31.0,184
ENSG00000291240.1,ENSG00000291240,24326,27.6994571685791,31.0,185
ENSG00000100191.6,SLC5A4,36884,27.703462600708008,31.0,186
ENSG00000100226.16,GTPBP1,32558,27.709056854248047,31.0,187
ENSG00000244509.4,APOBEC3C,6096,27.7239990234375,31.0,188
ENSG00000100065.15,CARD10,29181,27.734193801879883,31.0,189
ENSG00000183773.16,AIFM3,16253,27.74374008178711,31.0,190
ENSG00000242247.11,ARFGAP3,61605,27.75501251220703,31.0,191
ENSG00000093009.11,CDC45,41156,27.762792587280273,31.0,192
ENSG00000183762.13,KREMEN1,95299,27.763513565063477,31.0,193
ENSG00000182902.14,SLC25A18,27546,27.769094467163086,31.0,194
ENSG00000063515.3,GSC2,3300,27.778636932373047,31.0,195
ENSG00000100012.12,SEC14L3,24059,27.783615112304688,31.0,196
ENSG00000130638.18,ATXN10,173510,27.78981590270996,31.0,197
ENSG00000100227.19,POLDIP3,31242,27.800413131713867,31.0,198
ENSG00000100362.13,PVALB,18796,27.803016662597656,31.0,199
ENSG00000100364.19,KIAA0930,48651,27.81208038330078,31.0,200
ENSG00000025770.19,NCAPH2,16557,27.820438385009766,31.0,201
ENSG00000100170.10,SLC5A1,69769,27.8206729888916,31.0,202
ENSG00000184571.14,PIWIL3,55687,27.83958625793457,31.0,203
ENSG00000100139.14,MICALL1,37166,27.845558166503906,31.0,204
ENSG00000183569.18,SERHL2,20766,27.854232788085938,31.0,205
ENSG00000187045.19,TMPRSS6,44278,27.854814529418945,31.0,206
ENSG00000100296.14,THOC5,49338,27.85842514038086,31.0,207
ENSG00000100029.18,PES1,30459,27.870464324951172,31.0,208
ENSG00000099999.15,RNF215,52961,27.87708854675293,31.0,209
ENSG00000273899.5,NOL12,11804,27.883852005004883,31.0,210
ENSG00000100084.14,HIRA,116753,27.88843536376953,31.0,211
ENSG00000099940.12,SNAP29,32208,27.888442993164062,31.0,212
ENSG00000161180.11,CCDC116,4614,27.903228759765625,31.0,213
ENSG00000100156.12,SLC16A8,6051,27.90637969970703,31.0,214
ENSG00000099899.16,TRMT2A,5518,27.912015914916992,31.0,215
ENSG00000133424.22,LARGE1,760616,27.916706085205078,31.0,216
ENSG00000284431.1,ENSG00000284431,63526,27.919198989868164,31.0,217
ENSG00000196588.21,MRTFA,226439,27.91922378540039,31.0,218
ENSG00000100014.20,SPECC1L,146923,27.91991424560547,31.0,219
ENSG00000100325.15,ASCC2,49696,27.921091079711914,31.0,220
ENSG00000100290.3,BIK,18963,27.921689987182617,31.0,221
ENSG00000234965.3,SHISA8,5532,27.926067352294922,31.0,222
ENSG00000138867.17,GUCD1,15513,27.927318572998047,31.0,223
ENSG00000099957.17,P2RX6,18206,27.935625076293945,31.0,224
ENSG00000242114.6,MTFP1,3432,27.937063217163086,31.0,225
ENSG00000100372.15,SLC25A17,49770,27.939672470092773,31.0,226
ENSG00000100281.14,HMGXB4,38356,27.955547332763672,31.0,227
ENSG00000093010.15,COMT,28605,27.95598602294922,31.0,228
ENSG00000185133.14,INPP5J,11967,27.96235466003418,31.0,229
ENSG00000100365.16,NCF4,17030,27.966089248657227,31.0,230
ENSG00000100207.21,TCF20,183604,27.970308303833008,31.0,231
ENSG00000159873.10,CCDC117,16628,27.972335815429688,31.0,232
ENSG00000215012.9,RTL10,8759,27.97785186767578,31.0,233
ENSG00000100395.15,L3MBTL2,25990,27.996383666992188,31.0,234
ENSG00000099956.20,SMARCB1,51079,28.006284713745117,31.0,235
ENSG00000235568.7,NFAM1,51997,28.01714515686035,31.0,236
ENSG00000100314.4,CABP7,11831,28.02079200744629,31.0,237
ENSG00000100092.24,SH3BP1,21464,28.025833129882812,31.0,238
ENSG00000277971.1,ENSG00000277971,17380,28.045425415039062,31.0,239
ENSG00000133454.16,MYO18B,288902,28.051979064941406,31.0,240
ENSG00000070413.20,DGCR2,86173,28.05280113220215,31.0,241
ENSG00000183765.24,CHEK2,54680,28.06680679321289,31.0,242
ENSG00000100336.18,APOL4,15717,28.0953426361084,31.0,243
ENSG00000100344.11,PNPLA3,40697,28.12040138244629,31.0,244
ENSG00000187905.11,LRRC74B,18223,28.125747680664062,31.0,245
ENSG00000099953.10,MMP11,16091,28.1436824798584,31.0,246
ENSG00000198911.13,SREBF2,74202,28.148136138916016,31.0,247
ENSG00000186732.14,MPPED1,96653,28.152328491210938,31.0,248
ENSG00000283900.1,TPTEP2-CSNK1E,106605,28.158876419067383,31.0,249
ENSG00000239900.14,ADSL,44003,28.162466049194336,31.0,250
ENSG00000099960.13,SLC7A4,4123,28.163230895996094,31.0,251
ENSG00000100368.15,CSF2RB,26812,28.163509368896484,31.0,252
ENSG00000100342.22,APOL1,14460,28.182226181030273,31.0,253
ENSG00000184076.13,UQCR10,3045,28.18358039855957,31.0,254
ENSG00000100206.11,DMC1,51257,28.18715476989746,31.0,255
ENSG00000100401.21,RANGAP1,41409,28.193605422973633,31.0,256
ENSG00000183785.16,TUBA8,36584,28.196630477905273,31.0,257
ENSG00000175329.13,ISX,21252,28.197111129760742,31.0,258
ENSG00000186951.17,PPARA,93235,28.20169448852539,31.0,259
ENSG00000186976.15,EFCAB6,283594,28.223560333251953,31.0,260
ENSG00000128346.11,C22orf23,10620,28.22556495666504,31.0,261
ENSG00000008735.14,MAPK8IP2,13189,28.229812622070312,31.0,262
ENSG00000185339.10,TCN2,20269,28.245275497436523,31.0,263
ENSG00000186654.21,PRR5,69135,28.249496459960938,31.0,264
ENSG00000131100.13,ATP6V1E1,36614,28.250259399414062,31.0,265
ENSG00000138964.17,PARVG,46578,28.250600814819336,31.0,266
ENSG00000248405.10,PRR5-ARHGAP8,160474,28.251874923706055,31.0,267
ENSG00000099954.19,CECR2,198203,28.2703914642334,31.0,268
ENSG00000075218.19,GTSE1,33941,28.2722225189209,31.0,269
ENSG00000100359.21,SGSM3,39699,28.27785301208496,31.0,270
ENSG00000100055.21,CYTH4,33315,28.285682678222656,31.0,271
ENSG00000128165.9,ADM2,4898,28.28644371032715,31.0,272
ENSG00000166862.7,CACNG2,142896,28.289329528808594,31.0,273
ENSG00000100346.18,CACNA1I,118983,28.293638229370117,31.0,274
ENSG00000213923.13,CSNK1E,27394,28.293970108032227,31.0,275
ENSG00000286070.2,ENSG00000286070,72981,28.29779052734375,31.0,276
ENSG00000182541.18,LIMK2,67842,28.298185348510742,31.0,277
ENSG00000100412.17,ACO2,81444,28.30094337463379,31.0,278
ENSG00000138944.8,SHISAL1,69287,28.30523109436035,31.0,279
ENSG00000249590.7,ENSG00000249590,19736,28.318580627441406,31.0,280
ENSG00000100003.18,SEC14L2,28363,28.31890106201172,31.0,281
ENSG00000285404.1,ENSG00000285404,201345,28.322084426879883,31.0,282
ENSG00000187860.11,CCDC157,22039,28.323041915893555,31.0,283
ENSG00000133466.14,C1QTNF6,19220,28.329397201538086,31.0,284
ENSG00000183307.4,TMEM121B,5071,28.331689834594727,31.0,285
ENSG00000167074.15,TEF,31994,28.3365478515625,31.0,286
ENSG00000241484.10,ARHGAP8,110231,28.34817886352539,31.0,287
ENSG00000100350.16,FOXRED2,20032,28.35445785522461,31.0,288
ENSG00000100031.19,GGT1,34195,28.356557846069336,31.0,289
ENSG00000069998.12,HDHD5,27777,28.358173370361328,31.0,290
ENSG00000206140.12,TMEM191C,4847,28.365793228149414,31.0,291
ENSG00000077935.17,SMC1B,69557,28.373477935791016,31.0,292
ENSG00000184792.16,OSBP2,214043,28.37441635131836,31.0,293
ENSG00000196236.13,XPNPEP3,75739,28.38015365600586,31.0,294
ENSG00000099984.12,GSTT2,3858,28.3802490234375,31.0,295
ENSG00000176635.18,HORMAD2,96612,28.38094139099121,31.0,296
ENSG00000100150.20,DEPDC5,154167,28.398921966552734,31.0,297
ENSG00000100354.21,TNRC6B,290992,28.400463104248047,31.0,298
ENSG00000100239.16,PPP6R2,101787,28.408308029174805,31.0,299
ENSG00000225528.4,TMA7B,4509,28.42925262451172,31.0,300
ENSG00000100307.13,CBX7,32514,28.45281982421875,31.0,301
ENSG00000100027.17,YPEL1,38259,28.45445442199707,31.0,302
ENSG00000128313.2,APOL5,11612,28.455045700073242,31.0,303
ENSG00000100348.10,TXN2,14595,28.476499557495117,31.0,304
ENSG00000100216.6,TOMM22,3465,28.477489471435547,31.0,305
ENSG00000100271.17,TTLL1,49904,28.49718475341797,31.0,306
ENSG00000183172.9,SMDT1,4594,28.499130249023438,31.0,307
ENSG00000100299.18,ARSA,5420,28.499723434448242,31.0,308
ENSG00000100116.17,GCAT,9272,28.504745483398438,31.0,309
ENSG00000185721.13,DRG1,131031,28.510868072509766,31.0,310
ENSG00000100300.18,TSPO,11696,28.51209831237793,31.0,311
ENSG00000184979.11,USP18,27280,28.514057159423828,31.0,312
ENSG00000128335.14,APOL2,13746,28.527462005615234,31.0,313
ENSG00000185666.16,SYN3,550562,28.53365135192871,31.0,314
ENSG00000100095.19,SEZ6L,214136,28.543272018432617,31.0,315
ENSG00000128268.12,MGAT3,35183,28.55083465576172,31.0,316
ENSG00000100292.18,HMOX1,13854,28.57795524597168,31.0,317
ENSG00000100276.10,RASL10A,6747,28.58300018310547,31.0,318
ENSG00000221890.6,NPTXR,25577,28.593130111694336,31.0,319
ENSG00000128284.20,APOL3,25849,28.596908569335938,31.0,320
ENSG00000100030.15,MAPK1,108024,28.601106643676758,31.0,321
ENSG00000214491.9,SEC14L6,23943,28.61587905883789,31.0,322
ENSG00000100294.13,MCAT,11190,28.62569236755371,31.0,323
ENSG00000286102.1,FAM246A,699,28.6273250579834,31.0,324
ENSG00000128408.9,RIBC2,18817,28.643220901489258,31.0,325
ENSG00000128311.14,TST,9325,28.654584884643555,31.0,326
ENSG00000183864.5,TOB2,13308,28.654794692993164,31.0,327
ENSG00000100246.13,DNAL4,15691,28.656299591064453,31.0,328
ENSG00000205702.12,CYP2D7,9253,28.656597137451172,31.0,329
ENSG00000128298.18,BAIAP2L2,26364,28.65752601623535,31.0,330
ENSG00000100417.12,PMM1,12972,28.657878875732422,31.0,331
ENSG00000100385.15,IL2RB,56453,28.669477462768555,31.0,332
ENSG00000100162.15,CENPM,8416,28.675201416015625,31.0,333
ENSG00000244752.3,CRYBB2,19307,28.677759170532227,31.0,334
ENSG00000100079.7,LGALS2,12369,28.6782283782959,31.0,335
ENSG00000128342.5,LIF,6307,28.68376350402832,31.0,336
ENSG00000285304.1,ENSG00000285304,27240,28.68513298034668,31.0,337
ENSG00000186998.16,EMID1,53702,28.685951232910156,31.0,338
ENSG00000100297.16,MCM5,25298,28.69017219543457,31.0,339
ENSG00000128309.17,MPST,10187,28.696918487548828,31.0,340
ENSG00000197077.14,KIAA1671,244733,28.70328140258789,31.0,341
ENSG00000100319.13,ZMAT5,36056,28.70889663696289,31.0,342
ENSG00000100221.11,JOSD1,16014,28.716093063354492,31.0,343
ENSG00000215568.9,GAB4,46287,28.720266342163086,31.0,344
ENSG00000093072.19,ADA2,79446,28.73897361755371,31.0,345
ENSG00000100373.10,UPK3A,10926,28.755949020385742,31.0,346
ENSG00000100403.12,ZC3H7B,58623,28.770917892456055,31.0,347
ENSG00000198125.13,MB,31188,28.77135467529297,31.0,348
ENSG00000100196.11,KDELR3,15370,28.7900447845459,31.0,349
ENSG00000183741.12,CBX6,10828,28.803380966186523,31.0,350
ENSG00000100335.15,MIEF1,18701,28.80340576171875,31.0,351
ENSG00000183530.14,PRR14L,73885,28.80912208557129,31.0,352
ENSG00000099942.13,CRKL,36341,28.818979263305664,31.0,353
ENSG00000184381.20,PLA2G6,103284,28.819551467895508,31.0,354
ENSG00000183963.19,SMTN,40653,28.865102767944336,31.0,355
ENSG00000100106.22,TRIOBP,79509,28.87944793701172,31.0,356
ENSG00000138942.17,RNF185,46838,28.881155014038086,31.0,357
ENSG00000196419.13,XRCC6,42886,28.889358520507812,31.0,358
ENSG00000176177.10,ENTHD1,150821,28.897146224975586,31.0,359
ENSG00000185340.16,GAS2L1,6170,28.89716339111328,31.0,360
ENSG00000100078.4,PLA2G3,5702,28.908891677856445,31.0,361
ENSG00000099998.19,GGT5,25455,28.915359497070312,31.0,362
ENSG00000249222.1,ATP5MGL,799,28.917396545410156,31.0,363
ENSG00000100124.15,ANKRD54,18473,28.918529510498047,31.0,364
ENSG00000172967.8,XKR3,42000,28.927274703979492,31.0,365
ENSG00000100167.21,SEPTIN3,28779,28.929306030273438,31.0,366
ENSG00000100122.7,CRYBB1,18750,28.93709373474121,31.0,367
ENSG00000100321.15,SYNGR1,35651,28.961530685424805,31.0,368
ENSG00000100243.22,CYB5R3,105141,28.97247886657715,31.0,369
ENSG00000187051.9,RPS19BP1,3669,28.976696014404297,31.0,370
ENSG00000099968.18,BCL2L13,102001,28.978313446044922,31.0,371
ENSG00000133460.20,SLC2A11,29610,28.98811149597168,31.0,372
ENSG00000099910.17,KLHL22,54326,28.993289947509766,31.0,373
ENSG00000100285.10,NEFH,11173,29.01150131225586,31.0,374
ENSG00000185651.16,UBE2L3,74588,29.017669677734375,31.0,375
ENSG00000100138.15,SNU13,16572,29.022598266601562,31.0,376
ENSG00000166897.16,ELFN2,59520,29.024789810180664,31.0,377
ENSG00000100121.14,GGTLC2,3285,29.0264835357666,31.0,378
ENSG00000100060.18,MFNG,17331,29.030378341674805,31.0,379
ENSG00000167065.14,DUSP18,15837,29.032075881958008,31.0,380
ENSG00000185264.12,TEX33,16732,29.03508186340332,31.0,381
ENSG00000205704.8,SMIM45,6790,29.03843879699707,31.0,382
ENSG00000128228.5,SDF2L1,1998,29.072572708129883,31.0,383
ENSG00000100129.18,EIF3L,40540,29.077566146850586,31.0,384
ENSG00000278195.2,SSTR3,8241,29.113882064819336,31.0,385
ENSG00000100302.7,RASD2,13169,29.157983779907227,31.0,386
ENSG00000100399.16,CHADL,11422,29.160917282104492,31.0,387
ENSG00000128274.17,A4GALT,29178,29.162708282470703,31.0,388
ENSG00000196431.4,CRYBA4,8707,29.16366195678711,31.0,389
ENSG00000172346.15,CSDC2,16732,29.17218589782715,31.0,390
ENSG00000130943.7,PKDREJ,7681,29.187410354614258,31.0,391
ENSG00000128242.13,GAL3ST1,20031,29.188432693481445,31.0,392
ENSG00000128340.16,RAC2,34325,29.193124771118164,31.0,393
ENSG00000198355.5,PIM3,3305,29.193344116210938,31.0,394
ENSG00000241360.2,PDXP,8210,29.220340728759766,31.0,395
ENSG00000251357.4,ENSG00000251357,33036,29.22224235534668,31.0,396
ENSG00000100097.12,LGALS1,4167,29.22378158569336,31.0,397
ENSG00000100036.13,SLC35E4,33236,29.246946334838867,31.0,398
ENSG00000177989.14,ODF3B,2797,29.251876831054688,31.5,399
ENSG00000128322.7,IGLL1,7178,29.261981964111328,31.0,400
ENSG00000100101.15,ENSG00000100101,40090,29.271015167236328,31.0,401
ENSG00000168135.4,KCNJ4,28873,29.27158546447754,31.0,402
ENSG00000167077.13,MEI1,99954,29.28504180908203,31.0,403
ENSG00000221963.6,APOL6,19959,29.288742065429688,31.0,404
ENSG00000284194.3,SCO2,2894,29.299585342407227,31.0,405
ENSG00000100142.16,POLR2F,89309,29.305349349975586,31.0,406
ENSG00000128283.7,CDC42EP1,8926,29.315034866333008,31.0,407
ENSG00000167037.19,SGSM1,121410,29.328176498413086,31.0,408
